latin	arabic_form	form_kind	source_url	date_read	fetch_sha256	domain	market	licence	cldr_key
Dominican Peso	بيزو الدومنيكان	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/DOP/displayName
Algerian Dinar	دينار جزائري	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/DZD/displayName
Estonian Kroon	كرونة استونية	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/EEK/displayName
Egyptian Pound	جنيه مصري	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/EGP/displayName
Eritrean Nakfa	ناكفا أريتري	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/ERN/displayName
Spanish Peseta	بيزيتا إسباني	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/ESP/displayName
Ethiopian Birr	بير أثيوبي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/ETB/displayName
Euro	يورو	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/EUR/displayName
Finnish Markka	ماركا فنلندي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/FIM/displayName
Fijian Dollar	دولار فيجي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/FJD/displayName
Falkland Islands Pound	جنيه جزر فوكلاند	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/FKP/displayName
French Franc	فرنك فرنسي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/FRF/displayName
British Pound	جنيه إسترليني	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/GBP/displayName
Georgian Lari	لارى جورجي	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/GEL/displayName
Ghanaian Cedi (1979–2007)	سيدي غاني	cldr-currency	https://raw.githubusercontent.com/unicode-org/cldr-json/48.2.1/cldr-json/cldr-numbers-full/main/ar/currencies.json	2026-09-20	b39cc3d2cc55822e94ef2c4842d759ca60e3f85ae4bf7106268d0d0116168b23	currencies	world	Unicode-3.0	numbers/currencies/GHC/displayName
